company_name,start_year,end_year,sales_cagr
Jio Financial Services Ltd,2023,2024,4022.22
Adani Green Energy Ltd,2017,2024,51.56
Bajaj Finance Ltd,2015,2024,29.43
Avenue Supermarts Ltd,2013,2024,28.07
Bajaj Finserv Ltd,2013,2024,26.87
LTIMindtree Ltd,2013,2024,22.38
SBI Life Insurance Company Ltd,2013,2024,21.96
HDFC Bank Ltd,2013,2024,20.68
Tech Mahindra Ltd,2013,2024,20.2
Adani Power Ltd,2013,2024,20.14
Interglobe Aviation Ltd,2013,2024,20.08
"Adani Ports & Special Economic Zone Ltd
",2013,2024,20.05
Cholamandalam Investment & Finance Company Ltd,2013,2024,20.04
HDFC Life Insurance Company Ltd,2013,2024,19.68
IndusInd Bank Ltd,2013,2024,18.63
Trent Ltd,2013,2024,17.34
Indian Railway Finance Corporation Ltd,2016,2024,17.16
Indian Railway Catering & Tourism Corporation Ltd,2015,2024,16.76
Info Edge (India) Ltd,2013,2024,16.52
Power Finance Corporation Ltd,2013,2024,16.34
TVS Motor Company Ltd,2013,2024,16.19
"Kotak Mahindra Bank Ltd
",2013,2024,16.15
"Shriram Finance Ltd
",2013,2024,16.15
ICICI Lombard General Insurance Company Ltd,2013,2024,15.98
"Apollo Hospitals
Chain of Indian private hospitals",2013,2024,15.87
Bajaj Holdings & Investment Ltd,2013,2024,15.86
"Titan Company Ltd
",2013,2024,15.85
Grasim Industries Ltd,2013,2024,15.09
JSW Steel Ltd,2013,2024,14.84
ICICI Prudential Life Insurance Company Ltd,2013,2024,14.67
Sun Pharmaceuticals Industries Ltd,2013,2024,14.32
HCL Technologies Ltd,2013,2024,14.17
Axis Bank Ltd,2013,2024,13.49
Samvardhana Motherson International Ltd,2013,2024,13.17
Tata Consultancy Services Ltd,2013,2024,12.97
Infosys Ltd,2013,2024,12.93
Shree Cement Ltd,2013,2024,12.87
Divis Laboratories Ltd,2013,2024,12.51
Oil & Natural Gas Corpn Ltd,2013,2024,12.49
ICICI Bank Ltd,2013,2024,12.22
Power Grid Corporation of India Ltd,2013,2024,12.08
REC Ltd,2013,2024,12.02
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",2013,2024,11.71
Pidilite Industries Ltd,2013,2024,11.67
Torrent Pharmaceuticals Ltd,2013,2024,11.62
Bank of Baroda,2013,2024,11.31
Canara Bank,2013,2024,11.29
Bharat Electronics Ltd,2013,2024,11.25
Maruti Suzuki India Ltd,2013,2024,11.16
Abbott India Ltd,2012,2024,11.11
"Cipla Ltd
",2013,2024,10.88
Ambuja Cements Ltd,2012,2024,10.74
Larsen & Toubro Ltd,2013,2024,10.41
Britannia Industries Ltd,2013,2024,9.49
Hindalco Industries Ltd,2013,2024,9.42
Nestle India Ltd,2013,2024,9.38
GAIL (India) Ltd,2013,2024,9.13
Havells India Ltd,2013,2024,9.1
Jindal Steel & Power Ltd,2013,2024,8.85
Punjab National Bank,2013,2024,8.81
NTPC Ltd,2013,2024,8.67
Eicher Motors Ltd,2012,2024,8.25
Life Insurance Corporation of India,2019,2024,8.16
Dr Reddys Laboratories Ltd,2013,2024,8.15
Tata Motors Ltd,2013,2024,7.95
"Hindustan Unilever Ltd
",2013,2024,7.83
Hindustan Aeronautics Ltd,2017,2024,7.81
"Reliance Industries Ltd
",2013,2024,7.74
"ITC Ltd
",2013,2024,7.61
Bajaj Auto Ltd,2013,2024,7.61
Godrej Consumer Products Ltd,2013,2024,7.42
Coal India Ltd,2013,2024,6.9
Adani Enterprises Ltd,2013,2024,6.88
Tata Consumer Products Ltd,2013,2024,6.83
"Mahindra & Mahindra Ltd
",2013,2024,6.62
Dabur India Ltd,2013,2024,6.6
Bharti Airtel Ltd,2013,2024,6.26
"Tata Power Company Ltd
",2013,2024,5.76
Bharat Petroleum Corporation Ltd,2013,2024,5.75
Bosch Ltd,2012,2024,5.64
"Tata Steel Ltd
",2013,2024,4.95
Siemens Ltd,2011,2024,4.89
"Indian Oil Corporation
",2013,2024,4.84
"Hero MotoCorp Ltd
",2014,2024,4.1
"NHPC Ltd
",2013,2024,3.81
Macrotech Developers Ltd,2016,2024,2.83
JSW Energy Ltd,2013,2024,2.38
DLF Ltd,2013,2024,-1.71
"Bharat Heavy Electricals Limited
",2013,2024,-6.3
