company_name,cash_from_operations_cr,free_cash_flow_cr,capex_cr
Tata Consultancy Services Ltd,44338.0,50429.0,2.528508507926756
"Reliance Industries Ltd
",158788.0,45207.0,12.633572884885117
Tata Motors Ltd,67915.0,45133.0,5.2022250232915
Oil & Natural Gas Corpn Ltd,99263.0,42060.0,9.672537521390066
"Indian Oil Corporation
",71099.0,39635.0,4.052800791393595
HDFC Bank Ltd,19069.0,35669.0,5.852303374945795
Bharti Airtel Ltd,78898.0,27809.0,34.063420943846594
Bharat Petroleum Corporation Ltd,35936.0,25415.0,2.3480024906099985
Power Grid Corporation of India Ltd,37290.0,24176.0,28.606330301245553
Power Grid Corporation of India Ltd,37290.0,24176.0,28.606330301245553
Larsen & Toubro Ltd,18266.0,20445.0,0.9854689683555468
Infosys Ltd,25210.0,20117.0,3.314244810307802
"ITC Ltd
",17179.0,18742.0,2.205571077808822
,19930.0,18536.0,1.3887781939905954
Adani Power Ltd,14170.0,17651.0,6.9134674584417395
HCL Technologies Ltd,22448.0,15840.0,6.012027694631208
Coal India Ltd,18103.0,13617.0,3.151963126387679
Canara Bank,15046.0,13296.0,1.583438141857961
ICICI Bank Ltd,157284.0,12547.0,90.7350986734873
Sun Pharmaceuticals Industries Ltd,12135.0,11372.0,1.5732931933934058
"Hindustan Unilever Ltd
",15469.0,10145.0,8.601525138942742
Hindalco Industries Ltd,24056.0,9789.0,6.6062548040859035
Interglobe Aviation Ltd,21183.0,9424.0,17.065772669220944
NTPC Ltd,40785.0,8644.0,18.00606159069137
"Adani Ports & Special Economic Zone Ltd
",15018.0,8250.0,25.337875781513237
"Adani Ports & Special Economic Zone Ltd
",15018.0,8250.0,25.337875781513237
Indian Railway Finance Corporation Ltd,7914.0,7906.0,0.030024394820791892
"Kotak Mahindra Bank Ltd
",15685.0,6766.0,15.859665344879707
Bajaj Auto Ltd,6558.0,6486.0,0.16046356139959886
Bajaj Auto Ltd,6558.0,6486.0,0.16046356139959886
"Tata Steel Ltd
",20301.0,6048.0,6.219373306395661
Tech Mahindra Ltd,6376.0,5058.0,2.5348103700284637
Tech Mahindra Ltd,6376.0,5058.0,2.5348103700284637
Maruti Suzuki India Ltd,16801.0,4936.0,8.363997800617518
GAIL (India) Ltd,12586.0,4360.0,6.174377758429158
"Tata Power Company Ltd
",12596.0,3569.0,14.69023092320461
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",6104.0,3556.0,7.17847584166784
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",6104.0,3556.0,7.17847584166784
Torrent Pharmaceuticals Ltd,3266.0,3106.0,1.4914243102162565
"Hero MotoCorp Ltd
",4923.0,3095.0,4.8373865410569215
Britannia Industries Ltd,2573.0,3050.0,2.844534557815016
Nestle India Ltd,4175.0,2938.0,5.070919078461917
,10898.0,2109.0,12.394934281040221
Shree Cement Ltd,3347.0,1929.0,6.9099946396374445
Hindustan Aeronautics Ltd,8226.0,1814.0,21.105296073203647
LTIMindtree Ltd,5670.0,1752.0,11.031337106174508
Bosch Ltd,1253.0,1536.0,1.6918754110121361
"Titan Company Ltd
",1695.0,1506.0,0.36997885835095135
Bajaj Holdings & Investment Ltd,1941.0,1469.0,27.73207990599295
Siemens Ltd,1670.0,1168.0,2.2571942446043165
