company_name,peer_group,return_on_equity_pct_percentile,net_profit_margin_pct_percentile,debt_to_equity_percentile,free_cash_flow_cr_percentile,composite_score_percentile
Abbott India Ltd,,,,,,
Abbott India Ltd,,,,,,
Adani Energy Solutions Ltd,,,,,,
Adani Enterprises Ltd,,,,,,
Adani Green Energy Ltd,Power & Utilities,37.5,37.5,12.5,12.5,12.5
"Adani Ports & Special Economic Zone Ltd
",,,,,,
"Adani Ports & Special Economic Zone Ltd
",,,,,,
Adani Power Ltd,Power & Utilities,100.0,87.5,100.0,75.0,100.0
Ambuja Cements Ltd,,,,,,
"Apollo Hospitals
Chain of Indian private hospitals",,,,,,
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",,,,,,
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",,,,,,
Bajaj Auto Ltd,Automobiles,81.25,81.25,56.25,81.25,81.25
Bajaj Auto Ltd,Automobiles,81.25,81.25,56.25,81.25,81.25
Axis Bank Ltd,Private Banks,80.0,40.0,20.0,40.0,40.0
Bajaj Finserv Ltd,,,,,,
Bajaj Holdings & Investment Ltd,,,,,,
Bajaj Finance Ltd,Consumer Finance,100.0,100.0,100.0,33.33333333333333,33.33333333333333
Bank of Baroda,Public Sector Banks,14.285714285714285,100.0,28.57142857142857,85.71428571428571,85.71428571428571
Bharti Airtel Ltd,,,,,,
Bharat Electronics Ltd,,,,,,
"Bharat Heavy Electricals Limited
",,,,,,
Bosch Ltd,,,,,,
Bharat Petroleum Corporation Ltd,Oil & Gas,100.0,40.0,40.0,40.0,80.0
Britannia Industries Ltd,FMCG,85.71428571428571,42.857142857142854,14.285714285714285,71.42857142857143,42.857142857142854
Canara Bank,Public Sector Banks,28.57142857142857,85.71428571428571,14.285714285714285,100.0,100.0
Cholamandalam Investment & Finance Company Ltd,Consumer Finance,66.66666666666666,33.33333333333333,33.33333333333333,66.66666666666666,83.33333333333334
"Cipla Ltd
",Pharmaceuticals,60.0,40.0,80.0,60.0,30.0
Coal India Ltd,,,,,,
Dabur India Ltd,FMCG,42.857142857142854,57.14285714285714,57.14285714285714,42.857142857142854,57.14285714285714
Divis Laboratories Ltd,Pharmaceuticals,20.0,100.0,100.0,40.0,70.0
DLF Ltd,,,,,,
Avenue Supermarts Ltd,,,,,,
Dr Reddys Laboratories Ltd,Pharmaceuticals,80.0,80.0,40.0,20.0,30.0
Eicher Motors Ltd,Automobiles,50.0,100.0,87.5,37.5,100.0
GAIL (India) Ltd,Oil & Gas,40.0,60.0,100.0,20.0,40.0
Godrej Consumer Products Ltd,FMCG,14.285714285714285,14.285714285714285,28.57142857142857,14.285714285714285,14.285714285714285
Grasim Industries Ltd,,,,,,
Hindustan Aeronautics Ltd,,,,,,
Havells India Ltd,,,,,,
HCL Technologies Ltd,IT Services,66.66666666666666,66.66666666666666,100.0,66.66666666666666,58.333333333333336
HDFC Bank Ltd,Private Banks,60.0,60.0,60.0,100.0,80.0
HDFC Life Insurance Company Ltd,Life Insurance,50.0,75.0,50.0,25.0,62.5
"Hero MotoCorp Ltd
",Automobiles,37.5,62.5,75.0,50.0,62.5
Hindalco Industries Ltd,Steel,50.0,50.0,75.0,100.0,25.0
"Hindustan Unilever Ltd
",FMCG,57.14285714285714,85.71428571428571,85.71428571428571,85.71428571428571,78.57142857142857
ICICI Bank Ltd,Private Banks,100.0,80.0,80.0,80.0,100.0
ICICI Lombard General Insurance Company Ltd,,,,,,
ICICI Prudential Life Insurance Company Ltd,Life Insurance,25.0,25.0,25.0,75.0,62.5
IndusInd Bank Ltd,Private Banks,40.0,20.0,40.0,20.0,20.0
Infosys Ltd,IT Services,83.33333333333334,83.33333333333334,66.66666666666666,83.33333333333334,91.66666666666666
