id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,operating_activity,investing_activity,financing_activity,net_cash_flow,company_name,broad_sector,sub_sector,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,return_on_equity_pct,free_cash_flow_cr,capex_cr,cash_from_operations_cr,quality_score
72,ABB,2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,147,21.0,3678,83,1411,5193,225,10,0,4958,5193,72,1213.0,-416.0,-745.0,52.0,Abbott India Ltd,Industrials,Capital Goods,1536236.24,1619349.16,75.58,4.48,12.63,0.96,20.53,24.84,0.022438496891051634,32.47,797.0,7.112326893486067,1213.0,100
72,ABB,2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,147,21.0,3678,83,1411,5193,225,10,0,4958,5193,83,6038.0,-4943.0,-543.0,551.0,Abbott India Ltd,Industrials,Capital Goods,1536236.24,1619349.16,75.58,4.48,12.63,0.96,20.53,24.84,0.022438496891051634,32.47,1095.0,84.51017267909045,6038.0,100
157,ADANIPOWER,2024,50351,32124,18228.0,36.0,9883,3388,3931,20792,0.0,20829,54.0,0.0,225,3857.0,39288,34616,14248,92009,63016,925,374,27694,92009,138,14170.0,3481.0,-16864.0,787.0,Adani Power Ltd,Energy,Power & Utilities,1372183.55,1357949.64,44.57,9.91,24.76,1.65,41.37,36.2,0.8023177656738903,48.28,17651.0,6.9134674584417395,14170.0,100
540,HAL,2024,30381,20631,9749.0,32.0,1899,43,1406,10199,26.0,7595,114.0,31.0,615,5.0,194,123,127,450,240,9,43,158,450,513,8226.0,-6412.0,-1999.0,-185.0,Hindustan Aeronautics Ltd,Industrials,Defence & Aerospace,2643616.86,3140281.78,71.89,3.65,8.76,2.77,25.0,32.09,0.6180904522613065,3816.58,1814.0,21.105296073203647,8226.0,100
488,EICHERMOT,2024,16536,12206,4329.0,26.0,1521,51,598,5202,23.0,4001,146.0,35.0,566,27.0,18018,419,4650,23115,2914,555,13527,6119,23115,469,3724.0,-2834.0,-844.0,45.0,Eicher Motors Ltd,Consumer Discretionary,Two Wheelers,222391.83,234358.89,15.62,13.61,19.29,4.41,24.2,26.18,0.023219728456636186,22.17,890.0,17.138364779874212,3724.0,100
771,ITC,2024,70866,44634,26233.0,37.0,2804,80,1816,27140,24.0,20751,16.0,84.0,843,1248.0,73259,303,16944,91754,27820,2861,31114,29959,91754,711,17179.0,1563.0,-18551.0,191.0,"ITC Ltd
",Consumer Staples,Diversified FMCG,332245.58,369131.93,47.85,3.24,17.19,4.26,29.28,37.02,0.004066731984914169,27.85,18742.0,2.205571077808822,17179.0,100
745,IRCTC,2024,4270,2804,1466.0,34.0,106,19,57,1496,26.0,1111,14.0,47.0,817,160.0,3070,60,2801,6091,343,443,0,5306,6091,690,882.0,-215.0,-404.0,262.0,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,Travel & Tourism,1258520.29,1473943.68,60.44,5.74,32.47,1.08,26.02,34.33,0.018575851393188854,34.4,667.0,5.035128805620609,882.0,100
410,COALINDIA,2024,142324,819,94352.0,47971.0,34,8396,6735,48813,23.0,37369,61.0,42.0,488,6163.0,76567,6523,147217,236470,75668,18960,7110,134731,236470,397,18103.0,-4486.0,-13899.0,-282.0,Coal India Ltd,Materials,Mining & Metals,454024.84,574785.39,34.27,14.75,25.15,4.38,26.26,66.29,0.0788468512027076,45.17,13617.0,3.151963126387679,18103.0,100
131,ADANIPORTS,2024,26711,11121,15589.0,58.0,671,2733,3888,9639,16.0,8104,38.0,16.0,212,432.0,52346,49470,14751,116999,75148,10936,4289,26627,116999,126,15018.0,-6768.0,-7800.0,450.0,"Adani Ports & Special Economic Zone Ltd
",Industrials,Infrastructure,675598.01,611165.74,48.9,2.31,31.76,1.16,30.34,58.36,0.9373223691689719,15.35,8250.0,25.337875781513237,15018.0,90
144,ADANIPORTS,2024,26711,11121,15589.0,58.0,671,2733,3888,9639,16.0,8104,38.0,16.0,212,432.0,52346,49470,14751,116999,75148,10936,4289,26627,116999,126,15018.0,-6768.0,-7800.0,450.0,"Adani Ports & Special Economic Zone Ltd
",Industrials,Infrastructure,675598.01,611165.74,48.9,2.31,31.76,1.16,30.34,58.36,0.9373223691689719,15.35,8250.0,25.337875781513237,15018.0,90
