id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,operating_activity,investing_activity,financing_activity,net_cash_flow,company_name,broad_sector,sub_sector,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,return_on_equity_pct,free_cash_flow_cr,capex_cr,cash_from_operations_cr,quality_score,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,earnings_yield,book_yield,valuation_score
1101,SHRIRAMFIN,2019,15536,4171,3801.0,24.0,20,7564,43,3778,32.0,2576,20.0,11.0,1266,227.0,15736,87914,1542,105419,147,0,4126,101146,105419,1020,-5535.0,-76.0,5550.0,-62.0,"Shriram Finance Ltd
",Financials,Consumer Finance,16.58,24.47,5.507360771784752,16.14,-5611.0,0.48918640576725025,-5535.0,50,594898.99,643160.23,79.88,0.51,8.83,1.36,1.2518778167250877,196.078431372549,98.66515459463704
226,AXISBANK,2020,62635,37429,35066.0,-9859.0,-16,15537,773,4904,67.0,1627,6.0,0.0,294,564.0,85776,797337,44194,927872,3912,483,155282,768196,927872,203,30416.0,-9485.0,8865.0,29795.0,Axis Bank Ltd,Financials,Private Banks,2.6,55.98,9.234850590687978,1.88,20931.0,15.14329049253612,30416.0,0,609012.03,554106.67,65.08,0.53,17.04,2.23,1.5365703749231716,188.67924528301887,95.10790782897102
194,ASIANPAINT,2022,29101,24298,4804.0,17.0,296,95,816,4188,26.0,3085,32.0,61.0,262,96.0,13716,1587,7560,22958,5519,426,3248,13765,22958,172,986.0,-317.0,-1808.0,-1138.0,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,10.6,16.51,0.11490008688097307,22.34,669.0,1.089309645716642,986.0,90,1711731.0,1728320.53,40.61,0.54,17.22,0.32,2.462447672986949,185.18518518518516,93.82381642908605
194,ASIANPAINT,2022,29101,24298,4804.0,17.0,296,95,816,4188,26.0,3085,32.0,61.0,275,96.0,13716,1587,7560,22958,5519,426,3248,13765,22958,172,986.0,-317.0,-1808.0,-1138.0,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,10.6,16.51,0.11490008688097307,22.34,669.0,1.089309645716642,986.0,90,1711731.0,1728320.53,40.61,0.54,17.22,0.32,2.462447672986949,185.18518518518516,93.82381642908605
664,ICICIPRULI,2019,41463,23,40922.0,541.0,1,813,57,1274,11.0,1139,8.0,40.0,750,1436.0,5435,0,156215,163086,463,13,159003,3607,163086,627,11377.0,-7559.0,-843.0,2975.0,ICICI Prudential Life Insurance Company Ltd,Financials,Life Insurance,2.75,98.7,0.0,16.58,3818.0,18.230711718881896,11377.0,60,1606002.47,1499575.64,76.8,0.56,32.16,0.14,1.3020833333333335,178.57142857142856,89.93675595238095
961,NTPC,2022,132669,92307,40362.0,30.0,4809,9376,13788,22007,23.0,16960,17.0,41.0,867,9697.0,125677,210707,69751,415831,224923,91126,10626,89156,415831,891,41788.0,-22891.0,-19172.0,-274.0,NTPC Ltd,Energy,Power & Utilities,12.78,30.42,1.5564805649533884,12.53,18897.0,17.254219146899427,41788.0,60,733611.88,778448.75,54.44,0.57,34.87,0.34,1.8368846436443793,175.43859649122808,88.63774056743623
828,LICI,2019,571508,565587,5920.0,1.0,2615,0,336,8199,68.0,2627,,2.0,988,100.0,710,269401,3157039,3427249,25194,710,2900287,501059,3427249,762,13274.0,9636.0,-13700.0,9210.0,Life Insurance Corporation of India,Financials,Life Insurance,0.46,1.04,332.59382716049384,324.32,22910.0,1.6860656368764744,13274.0,40,166637.32,173087.14,53.3,0.6,39.37,0.77,1.876172607879925,166.66666666666669,84.27141963727331
510,GODREJCP,2020,9911,7757,2154.0,22.0,32,228,197,1760,15.0,1497,15.0,55.0,588,102.0,7796,3575,3407,14880,9231,57,672,4920,14880,489,1588.0,-552.0,-1295.0,-259.0,Godrej Consumer Products Ltd,Consumer Staples,Personal Products,15.1,21.73,0.45264623955431754,18.95,1036.0,5.569569165573605,1588.0,80,973100.39,1240448.27,55.52,0.6,14.3,4.08,1.8011527377521612,166.66666666666669,84.23390970220942
1192,TCS,2020,156949,114840,42109.0,27.0,4592,924,3529,42248,23.0,32447,86.0,85.0,1421,375.0,83751,8174,27827,120127,20928,906,26356,71937,120127,1105,32369.0,8968.0,-39915.0,1422.0,Tata Consultancy Services Ltd,Information Technology,IT Services,20.67,26.83,0.09716377814231035,38.57,41337.0,5.713958037324226,32369.0,100,290730.69,372282.29,57.2,0.61,13.84,0.05,1.7482517482517481,163.9344262295082,82.84133898887998
706,INDUSINDBK,2022,30822,15822,15840.0,-839.0,-3,7334,321,6174,25.0,4611,60.0,14.0,779,775.0,46923,341005,13273,401975,1754,95,70971,329155,401975,654,16600.0,-351.0,-4302.0,11947.0,IndusInd Bank Ltd,Financials,Private Banks,14.96,51.39,7.149251540945113,9.67,16249.0,1.138796963208098,16600.0,20,1839916.06,1655974.13,71.98,0.61,32.08,2.12,1.3892747985551541,163.9344262295082,82.66185051403168
